word,IDF
and,1.0394788109737874
to,1.0529925301405103
in,1.0946652265410783
the,1.1234441910911217
of,1.1381503384808171
that,1.1606231943328758
my,1.2643016238077172
but,1.3338949156069124
not,1.4382549309311554
with,1.4483052667846568
for,1.4483052667846568
is,1.468714138415864
so,1.5775169982646629
love,1.60077386042893
thy,1.6245845091226485
thou,1.6245845091226485
me,1.6245845091226485
thee,1.6739772644522253
be,1.6739772644522253
all,1.7259370033829362
as,1.7259370033829362
this,1.7529656757708554
which,1.7807452398779313
when,1.7949298748698876
by,1.8537703748928211
from,1.916290731874155
it,1.949080554697146
on,1.949080554697146
do,1.965887673013527
his,2.0003738490846965
have,2.018073426184097
doth,2.073133203367125
no,2.073133203367125
then,2.073133203367125
what,2.1115994841949206
if,2.1314021114911004
are,2.1314021114911004
or,2.15160481880862
sweet,2.2147837204301517
yet,2.2592354830009853
more,2.2592354830009853
mine,2.35454566280531
hath,2.4058389571928607
than,2.4058389571928607
art,2.4058389571928607
their,2.4058389571928607
eyes,2.432507204275022
can,2.432507204275022
time,2.432507204275022
make,2.459906178463137
beauty,2.459906178463137
will,2.459906178463137
shall,2.459906178463137
where,2.488077055429833
they,2.488077055429833
you,2.488077055429833
now,2.517064592303085
fair,2.5469175554527665
how,2.5469175554527665
still,2.57768921411952
true,2.57768921411952
thine,2.57768921411952
your,2.57768921411952
nor,2.6094379124341005
those,2.6422277352570913
though,2.6422277352570913
should,2.6422277352570913
heart,2.6761292869327726
such,2.6761292869327726
like,2.6761292869327726
him,2.7112206067440425
being,2.7112206067440425
eye,2.7112206067440425
every,2.7475882509149177
am,2.7475882509149177
was,2.7853285788977646
see,2.7853285788977646
who,2.7853285788977646
upon,2.7853285788977646
say,2.7853285788977646
he,2.8245492920510458
one,2.8245492920510458
give,2.8245492920510458
live,2.8245492920510458
even,2.8245492920510458
may,2.8245492920510458
most,2.865371286571301
let,2.865371286571301
since,2.865371286571301
loves,2.865371286571301
her,2.865371286571301
own,2.865371286571301
at,2.865371286571301
were,2.907930900990097
ill,2.907930900990097
some,2.907930900990097
might,2.907930900990097
well,2.9523826635609307
times,2.9523826635609307
did,2.9523826635609307
praise,2.9523826635609307
dear,2.9989026791958238
thus,2.9989026791958238
dost,2.9989026791958238
must,3.0476928433652555
look,3.0476928433652555
old,3.0476928433652555
much,3.098986137752806
show,3.098986137752806
made,3.098986137752806
there,3.098986137752806
world,3.098986137752806
day,3.098986137752806
alone,3.098986137752806
would,3.098986137752806
best,3.098986137752806
truth,3.153053359023082
life,3.153053359023082
too,3.153053359023082
worth,3.153053359023082
part,3.153053359023082
know,3.153053359023082
days,3.153053359023082
whose,3.153053359023082
away,3.153053359023082
new,3.153053359023082
beautys,3.2102117728630306
them,3.2102117728630306
sight,3.2102117728630306
hast,3.2102117728630306
find,3.2102117728630306
night,3.2102117728630306
false,3.2102117728630306
an,3.2102117728630306
hand,3.2102117728630306
thoughts,3.270836394679465
nothing,3.270836394679465
men,3.270836394679465
better,3.270836394679465
out,3.270836394679465
poor,3.270836394679465
she,3.270836394679465
these,3.270836394679465
myself,3.270836394679465
face,3.270836394679465
thought,3.270836394679465
dead,3.3353749158170367
name,3.3353749158170367
why,3.3353749158170367
good,3.3353749158170367
verse,3.3353749158170367
think,3.3353749158170367
far,3.3353749158170367
both,3.3353749158170367
each,3.3353749158170367
therefore,3.3353749158170367
things,3.3353749158170367
other,3.3353749158170367
death,3.3353749158170367
up,3.3353749158170367
thyself,3.3353749158170367
tell,3.3353749158170367
youth,3.404367787303988
before,3.404367787303988
come,3.404367787303988
never,3.404367787303988
prove,3.404367787303988
lie,3.404367787303988
use,3.404367787303988
proud,3.404367787303988
our,3.404367787303988
gentle,3.404367787303988
age,3.404367787303988
heaven,3.404367787303988
till,3.404367787303988
mind,3.47847575945771
bear,3.47847575945771
thing,3.47847575945771
whilst,3.47847575945771
others,3.47847575945771
die,3.47847575945771
hours,3.47847575945771
full,3.47847575945771
take,3.47847575945771
summers,3.5585184671312464
change,3.5585184671312464
had,3.5585184671312464
state,3.5585184671312464
seem,3.5585184671312464
mayst,3.5585184671312464
hate,3.5585184671312464
none,3.5585184671312464
ever,3.5585184671312464
friend,3.5585184671312464
making,3.5585184671312464
whom,3.5585184671312464
we,3.5585184671312464
lies,3.5585184671312464
against,3.5585184671312464
rich,3.5585184671312464
after,3.645529844120876
wilt,3.645529844120876
self,3.645529844120876
shalt,3.645529844120876
within,3.645529844120876
muse,3.645529844120876
nature,3.645529844120876
desire,3.645529844120876
pleasure,3.645529844120876
pen,3.645529844120876
call,3.645529844120876
grace,3.645529844120876
deeds,3.645529844120876
pride,3.645529844120876
long,3.645529844120876
sun,3.645529844120876
knows,3.645529844120876
great,3.645529844120876
place,3.645529844120876
end,3.645529844120876
shame,3.645529844120876
form,3.645529844120876
tongue,3.645529844120876
any,3.645529844120876
spirit,3.645529844120876
hold,3.645529844120876
another,3.645529844120876
many,3.740840023925201
although,3.740840023925201
stay,3.740840023925201
gone,3.740840023925201
black,3.740840023925201
right,3.740840023925201
loving,3.740840023925201
keep,3.740840023925201
lives,3.740840023925201
makes,3.740840023925201
first,3.740840023925201
once,3.740840023925201
could,3.740840023925201
leave,3.740840023925201
cannot,3.740840023925201
seen,3.740840023925201
write,3.740840023925201
decay,3.740840023925201
happy,3.740840023925201
tis,3.740840023925201
grow,3.846200539583027
brow,3.846200539583027
woe,3.846200539583027
beauteous,3.846200539583027
delight,3.846200539583027
leaves,3.846200539583027
lovely,3.846200539583027
speak,3.846200539583027
glory,3.846200539583027
